ride_date,day_of_week,month,avg_duration_min,num_rides,temp_f,max_temp_f,min_temp_f,wind_speed_knots,precip_in
2014-09-24,Wednesday,9,14.16,35481,65.0,73.0,54.0,8.1,0.0
2014-11-03,Monday,11,13.75,26757,48.1,62.1,41.0,13.6,0.0
2014-10-08,Wednesday,10,16.68,33607,67.6,73.0,64.0,13.5,0.06
2014-07-20,Sunday,7,17.06,30296,71.2,77.0,66.9,9.1,0.0
2014-08-27,Wednesday,8,13.68,33721,79.0,89.1,71.1,7.0,0.0
2014-10-25,Saturday,10,16.56,24952,58.7,68.0,51.1,8.3,0.0
2014-01-01,Wednesday,1,15.38,6059,28.9,33.1,21.0,9.4,0.0
2014-07-10,Thursday,7,13.71,36288,76.3,88.0,70.0,5.5,0.0
2014-02-08,Saturday,2,17.38,5986,26.8,33.1,21.9,8.0,0.0
2014-11-20,Thursday,11,12.01,20611,38.1,46.0,21.9,11.2,0.0
2014-02-22,Saturday,2,16.47,13044,45.5,55.0,34.0,9.4,0.11
2014-12-26,Friday,12,14.2,9895,45.3,63.0,39.9,9.4,0.07
2013-10-07,Monday,10,12.65,25016,70.7,77.0,64.0,11.8,0.33
2013-10-21,Monday,10,13.79,35012,59.3,66.9,51.1,7.3,0.0
2013-09-15,Sunday,9,17.27,31914,61.5,73.0,54.0,6.9,0.0
2013-12-01,Sunday,12,13.56,13326,41.1,48.9,25.0,3.2,0.0
2013-08-10,Saturday,8,20.44,37201,78.3,89.1,72.0,8.9,0.04
2013-12-15,Sunday,12,15.23,7462,33.7,39.0,24.1,14.2,1.21
2013-12-10,Tuesday,12,11.55,12850,36.0,39.0,32.0,8.5,0.07
2013-08-13,Tuesday,8,15.65,22437,74.0,82.0,70.0,5.3,0.01
2013-07-28,Sunday,7,17.54,23508,74.8,84.0,71.1,7.6,0.0
2013-12-18,Wednesday,12,11.49,14924,28.6,37.0,24.1,9.4,0.16
2013-10-10,Thursday,10,12.4,31171,59.1,66.0,54.0,13.2,0.0
2013-10-28,Monday,10,12.78,31498,53.0,61.0,44.1,7.7,0.0
2013-12-06,Friday,12,11.62,10736,50.5,57.9,42.8,7.1,0.05
2013-11-26,Tuesday,11,13.04,14999,36.0,39.9,24.1,7.0,0.0
2013-08-07,Wednesday,8,14.69,34396,74.4,82.0,66.9,9.5,0.0
2013-09-04,Wednesday,9,15.07,36798,73.3,82.0,66.0,10.4,0.09
2013-08-20,Tuesday,8,14.97,35843,77.5,89.1,68.0,4.5,0.0
2013-12-04,Wednesday,12,12.27,28199,43.8,53.1,37.9,4.3,0.0
2013-11-14,Thursday,11,13.03,27040,41.0,53.1,30.0,11.6,0.0
2013-07-01,Monday,7,16.31,16650,74.8,78.1,73.4,7.8,0.0
2013-11-07,Thursday,11,11.87,25719,58.3,63.0,46.9,9.2,0.0
2013-08-15,Thursday,8,15.3,37386,69.8,78.1,62.1,8.2,0.0
2013-08-25,Sunday,8,19.06,31755,73.8,82.9,64.0,4.8,0.0
2013-11-11,Monday,11,12.65,27295,48.6,60.1,44.1,13.6,0.0
2013-08-31,Saturday,8,17.86,25381,78.5,86.0,69.1,8.8,0.0
2013-11-22,Friday,11,12.09,25448,52.4,57.0,36.0,6.4,0.0
2013-12-22,Sunday,12,15.07,15063,58.4,69.1,50.0,9.0,0.01
2013-09-16,Monday,9,13.8,31287,65.8,73.0,54.0,6.9,0.0
2013-11-28,Thursday,11,13.91,5204,34.1,39.2,30.9,17.9,0.3
2013-08-27,Tuesday,8,15.07,34208,78.3,86.0,70.0,10.6,0.01
2013-07-26,Friday,7,15.67,34534,71.5,84.0,64.0,8.6,0.02
2013-07-24,Wednesday,7,15.59,35271,79.9,91.0,75.0,7.8,0.31
2013-07-05,Friday,7,18.04,21842,84.4,93.0,75.9,9.0,0.0
2013-11-18,Monday,11,13.22,30615,60.3,64.9,48.9,11.4,0.25
2013-11-01,Friday,11,13.63,30384,65.9,70.0,53.1,12.1,0.05
2013-08-06,Tuesday,8,16.16,37702,73.9,82.0,64.0,6.3,0.0
2013-10-08,Tuesday,10,13.78,38365,61.6,77.0,55.9,10.2,0.0
2018-02-11,Sunday,2,11.4,8809,45.6,60.1,37.9,4.7,0.82
2018-02-07,Wednesday,2,10.59,15289,32.8,46.9,28.0,8.3,0.0
2018-02-23,Friday,2,12.7,25634,37.8,41.0,37.0,9.1,0.11
2018-05-15,Tuesday,5,16.03,52826,69.1,91.9,52.0,9.4,0.02
2018-05-23,Wednesday,5,19.2,72655,66.2,82.0,55.9,5.1,0.42
2018-05-31,Thursday,5,13.87,55794,64.0,77.0,60.1,7.1,0.0
2018-03-13,Tuesday,3,11.05,23137,37.3,43.0,33.1,14.1,0.21
2018-04-02,Monday,4,16.4,22063,39.8,59.0,32.0,8.1,0.4
2018-02-18,Sunday,2,17.15,21538,37.6,45.0,30.0,8.8,0.62
2018-05-19,Saturday,5,15.37,18026,54.4,66.9,50.0,10.7,0.2
2018-04-06,Friday,4,13.14,35624,44.8,62.1,35.1,10.7,0.0
2018-04-03,Tuesday,4,10.72,25881,40.8,44.1,32.0,7.0,0.15
2018-02-21,Wednesday,2,30.36,53115,61.8,79.0,46.9,7.7,0.0
2018-02-22,Thursday,2,11.09,27010,50.6,79.0,37.9,10.1,0.02
2018-01-11,Thursday,1,12.06,33961,40.1,46.9,26.1,4.8,0.0
2018-04-17,Tuesday,4,11.76,44689,46.2,61.0,39.9,13.8,1.62
2018-01-24,Wednesday,1,11.51,36078,42.9,60.1,34.0,14.2,0.28
2018-05-24,Thursday,5,19.33,74810,74.5,86.0,57.0,7.6,0.21
2018-01-20,Saturday,1,14.61,28507,43.4,54.0,26.1,11.0,0.0
2018-04-30,Monday,4,13.16,41075,49.0,57.9,44.1,15.8,0.15
2018-01-21,Sunday,1,14.16,27908,46.1,54.0,37.0,5.3,0.0
2018-05-26,Saturday,5,32.99,51597,82.3,91.9,68.0,9.3,0.0
2018-04-21,Saturday,4,23.5,63599,48.8,62.1,37.9,10.4,0.0
2018-05-09,Wednesday,5,18.08,78458,63.5,73.9,54.0,4.8,0.0
2018-04-10,Tuesday,4,11.53,43051,43.2,50.0,33.1,7.9,0.0
2018-03-16,Friday,3,12.06,34921,37.6,48.0,34.0,16.7,0.0
2018-02-28,Wednesday,2,15.03,50709,49.5,62.1,39.9,9.2,0.0
2018-01-27,Saturday,1,22.88,34351,42.1,57.0,28.0,7.8,0.0
2018-03-01,Thursday,3,13.9,45564,54.5,62.1,42.1,6.0,0.0
2018-02-26,Monday,2,12.38,42570,46.1,52.0,39.9,6.4,0.22
2018-01-02,Tuesday,1,11.34,18818,18.4,26.1,8.1,12.3,0.0
2018-05-08,Tuesday,5,18.98,74313,61.8,75.0,54.0,5.9,0.0
2013-12-02,Monday,12,12.38,24576,44.2,48.9,37.0,4.5,0.0
2013-08-16,Friday,8,16.39,35991,72.6,81.0,63.0,3.7,0.0
2013-09-11,Wednesday,9,14.03,35812,83.6,93.9,69.1,7.5,0.0
2013-07-15,Monday,7,15.32,28069,87.2,93.9,72.0,7.8,0.0
2013-07-17,Wednesday,7,14.67,30550,87.4,97.0,78.1,4.0,0.0
2013-08-23,Friday,8,15.74,33503,76.2,81.0,72.0,9.0,0.24
2013-12-14,Saturday,12,12.06,3701,28.6,35.1,24.1,12.0,0.0
2013-10-30,Wednesday,10,12.16,35069,52.9,60.1,44.1,4.5,0.0
2013-12-08,Sunday,12,12.17,10090,32.1,37.9,28.4,8.7,0.13
2013-09-23,Monday,9,13.87,35152,58.5,68.0,52.0,10.6,0.53
2013-07-09,Tuesday,7,16.1,26641,82.6,91.0,75.0,6.0,0.0
2013-10-17,Thursday,10,13.39,36888,64.7,73.0,57.0,6.7,0.0
2013-10-09,Wednesday,10,12.84,36969,59.7,66.0,54.0,12.3,0.0
2013-09-20,Friday,9,14.81,39382,68.1,78.1,57.0,5.8,0.0
2013-07-16,Tuesday,7,15.13,29842,86.5,93.9,79.0,7.9,0.0
2013-10-14,Monday,10,13.91,33018,58.0,64.9,53.1,6.6,0.0
2013-10-01,Tuesday,10,13.71,40575,68.9,81.0,57.9,5.5,0.0
2013-12-28,Saturday,12,16.26,12022,42.4,55.0,32.0,9.3,0.0
2013-11-06,Wednesday,11,13.01,34826,53.2,61.0,42.1,5.9,0.0
2013-08-17,Saturday,8,20.1,37285,73.6,81.0,66.9,5.2,0.0
2013-07-27,Saturday,7,18.91,32470,76.9,84.0,64.9,8.5,0.0
2013-11-21,Thursday,11,11.77,28752,41.6,52.0,32.0,6.4,0.0
2013-07-22,Monday,7,14.7,25979,77.1,87.1,75.0,8.3,0.0
2013-12-17,Tuesday,12,12.22,7863,27.2,34.0,24.1,7.3,0.0
2013-09-03,Tuesday,9,14.44,32411,76.2,82.0,72.0,6.7,0.99
2013-07-12,Friday,7,15.64,19006,75.4,86.0,72.0,9.1,0.0
2013-11-17,Sunday,11,13.47,17995,52.6,60.8,48.2,4.5,0.02
2013-08-26,Monday,8,15.47,29979,75.3,84.0,66.9,9.1,0.0
2013-12-09,Monday,12,10.72,14824,34.5,39.2,28.9,10.9,0.19
2013-10-13,Sunday,10,15.95,28832,60.9,72.0,57.0,15.0,0.0
2013-10-02,Wednesday,10,13.91,41383,73.9,84.0,62.1,6.0,0.0
2013-09-28,Saturday,9,17.02,34931,64.4,73.0,57.0,7.3,0.0
2013-07-18,Thursday,7,14.38,28869,89.3,100.0,78.1,6.3,0.0
2013-09-13,Friday,9,14.66,36501,71.3,86.0,68.0,9.4,1.3
2017-04-05,Wednesday,4,19.63,47636,51.7,63.0,45.0,5.4,0.03
2017-10-29,Sunday,10,14.53,9537,64.0,68.0,54.0,10.3,0.1
2017-04-22,Saturday,4,16.99,34596,51.8,55.9,48.0,6.9,0.02
2017-09-03,Sunday,9,20.1,30955,62.6,72.0,55.9,9.8,0.79
2017-12-09,Saturday,12,13.79,10804,35.2,41.0,30.9,6.8,0.0
2017-09-18,Monday,9,14.66,64130,70.6,81.0,68.0,8.7,0.0
2017-08-05,Saturday,8,24.42,58971,76.3,84.9,70.0,10.0,0.82
2017-06-16,Friday,6,16.59,56403,65.6,75.9,63.0,9.1,0.0
2017-05-22,Monday,5,12.42,24627,59.8,71.1,57.0,7.5,0.11
2017-10-15,Sunday,10,16.61,56529,69.8,75.0,62.1,6.8,0.0
2017-06-24,Saturday,6,20.71,52153,79.5,87.1,70.0,10.0,0.96
2017-12-18,Monday,12,12.76,40168,38.4,46.9,33.1,5.7,0.02
2017-08-27,Sunday,8,22.6,54598,70.2,77.0,64.0,7.1,0.0
2017-07-19,Wednesday,7,16.22,63915,84.8,93.9,75.9,7.6,0.0
2017-04-10,Monday,4,21.02,50424,61.3,73.0,46.0,7.6,0.0
2017-09-13,Wednesday,9,16.06,69566,74.0,84.0,63.0,4.9,0.0
